symbol,direction,entry_price,exit_price,shares,pnl_net,pnl_gross,hold_minutes,exit_reason,score,hurst,ir,entry_time,exit_time
AAPL,short,273.9179651794434,273.9179651794434,7,-1.97,0.0,90,STOP,1.0,0.5,-0.0271,2026-02-10 18:25:00+00:00,2026-02-10 19:55:00+00:00
TSLA,short,423.1083473205567,424.45001220703125,6,-10.66,-8.05,120,TIME,0.7692,0.5,-0.3552,2026-02-10 18:25:00+00:00,2026-02-10 20:25:00+00:00
TSLA,short,424.23778720092776,428.58,5,-23.9,-21.71,35,STOP,0.5385,0.5,-0.1854,2026-02-10 20:25:00+00:00,2026-02-11 14:30:00+00:00
SPY,short,693.772935119629,693.772935119629,3,-2.14,0.0,10,STOP,0.8462,0.5,-0.661,2026-02-11 14:55:00+00:00,2026-02-11 15:05:00+00:00
NVDA,short,191.12439122009278,191.12439122009278,14,-2.75,0.0,55,STOP,0.8154,0.5,-0.2388,2026-02-11 14:55:00+00:00,2026-02-11 15:50:00+00:00
META,short,672.37366696167,672.37366696167,4,-2.76,0.0,5,STOP,0.8,0.5,0.9785,2026-02-11 15:55:00+00:00,2026-02-11 16:00:00+00:00
SPY,short,692.5935324401856,692.5935324401856,3,-2.14,0.0,40,STOP,0.8462,0.5,-0.2301,2026-02-11 19:55:00+00:00,2026-02-11 20:35:00+00:00
AAPL,short,276.4517013397217,276.4517013397217,6,-1.7,0.0,45,STOP,0.7692,0.5,-1.0505,2026-02-11 19:55:00+00:00,2026-02-11 20:40:00+00:00
QQQ,short,613.2682247009278,612.97998046875,4,-1.37,1.15,120,TIME,0.8,0.5,0.258,2026-02-11 18:55:00+00:00,2026-02-11 20:55:00+00:00
META,short,668.3779241333008,674.34,4,-26.61,-23.85,5,STOP,0.8462,0.5,-0.0548,2026-02-11 20:55:00+00:00,2026-02-12 14:30:00+00:00
QQQ,short,612.6734904785156,615.24,4,-12.79,-10.27,5,STOP,0.7692,0.5,-0.0067,2026-02-11 20:55:00+00:00,2026-02-12 14:30:00+00:00
MSFT,short,403.2682662200928,403.2682662200928,6,-2.49,0.0,35,STOP,0.7692,0.5,-0.5937,2026-02-12 20:25:00+00:00,2026-02-13 14:30:00+00:00
NVDA,short,184.1129908370972,184.1129908370972,15,-2.84,0.0,50,STOP,0.8462,0.5,-0.1433,2026-02-13 18:55:00+00:00,2026-02-13 19:45:00+00:00
META,short,648.8554026794434,643.8099975585938,3,13.14,15.14,120,TIME,0.5385,0.5,-0.0369,2026-02-13 17:55:00+00:00,2026-02-13 19:55:00+00:00
MSFT,short,403.0399868621826,401.6199951171875,6,6.04,8.52,120,TIME,0.5385,0.5,-0.2207,2026-02-13 17:55:00+00:00,2026-02-13 19:55:00+00:00
QQQ,short,604.7974255981445,603.02001953125,3,3.47,5.33,120,TIME,0.5385,0.5,-0.2092,2026-02-13 17:55:00+00:00,2026-02-13 19:55:00+00:00
TSLA,short,419.4376677093506,419.4376677093506,6,-2.59,0.0,10,STOP,0.7692,0.5,-0.3945,2026-02-13 19:55:00+00:00,2026-02-13 20:05:00+00:00
MSFT,short,401.41918511962893,401.41918511962893,6,-2.48,0.0,30,STOP,0.7692,0.5,-0.5248,2026-02-13 19:55:00+00:00,2026-02-13 20:25:00+00:00
SPY,short,684.317643157959,681.5889975585937,3,6.08,8.19,115,TRAIL,0.8462,0.5,-0.3355,2026-02-13 18:55:00+00:00,2026-02-13 20:50:00+00:00
TSLA,short,417.21130342102055,410.82,6,35.79,38.35,5,TARGET,0.7692,0.5,-0.0461,2026-02-13 20:55:00+00:00,2026-02-17 14:30:00+00:00
AAPL,short,261.71898959350585,261.71898959350585,6,-1.61,0.0,25,STOP,0.5385,0.5,-0.0309,2026-02-17 17:25:00+00:00,2026-02-17 17:50:00+00:00
TSLA,short,409.2153034210205,410.5599060058594,6,-10.6,-8.07,120,TIME,0.8,0.5,0.659,2026-02-17 18:25:00+00:00,2026-02-17 20:25:00+00:00
META,short,639.5401773681641,641.2150268554688,4,-9.33,-6.7,120,TIME,0.8,0.5,0.5508,2026-02-17 18:25:00+00:00,2026-02-17 20:25:00+00:00
SPY,short,682.0488196411134,682.8699951171875,3,-4.57,-2.46,120,TIME,0.8,0.5,0.3926,2026-02-17 18:25:00+00:00,2026-02-17 20:25:00+00:00
QQQ,short,600.734455657959,601.16162109375,4,-4.18,-1.71,120,TIME,0.8,0.5,0.4242,2026-02-17 18:25:00+00:00,2026-02-17 20:25:00+00:00
