symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime,composite_proxy,health_proxy
COP,2020-11-16,2020-11-30,38.13,40.34,104,230.0,0.058,9,trail_profit,0.4468,0.8652,0.0397,NEUTRAL/TRENDING,2.0,0.781
VALE,2020-11-19,2020-11-30,12.76,14.55,307,550.37,0.1405,6,profit_target,0.4802,0.8693,0.0395,NEUTRAL/TRENDING,2.0,1.0
KMI,2020-11-17,2020-12-02,14.04,14.0,279,-9.85,-0.0025,10,trail_loss,0.4364,0.8221,0.0393,NEUTRAL/TRENDING,2.0,-0.322
WMT,2020-11-16,2020-12-03,152.46,149.68,26,-72.17,-0.0182,12,trail_loss,0.4799,0.7944,0.0397,NEUTRAL/TRENDING,0.903,-0.196
DKNG,2020-11-17,2020-12-04,46.64,49.2,84,214.65,0.0548,12,momentum_break,0.439,0.8608,0.0395,NEUTRAL/TRENDING,1.987,0.139
INTC,2020-12-02,2020-12-08,49.92,49.91,82,-0.98,-0.0002,4,trail_loss,0.4324,0.8051,0.0397,NEUTRAL/TRENDING,1.95,0.503
MU,2020-11-16,2020-12-09,61.79,70.79,62,557.7,0.1456,16,trail_profit,0.3516,0.653,0.0389,NEUTRAL/TRENDING,2.0,1.0
RIOT,2020-11-17,2020-12-09,6.1,9.24,632,1985.53,0.515,15,trail_profit,0.3168,0.7953,0.0386,NEUTRAL/TRENDING,2.0,0.645
KDP,2020-11-19,2020-12-09,29.8,30.24,129,57.39,0.0149,13,momentum_break,0.4067,0.7429,0.039,NEUTRAL/MIXED,1.121,-0.084
SHOP,2020-11-30,2020-12-09,1090.46,1036.82,3,-160.92,-0.0492,7,trail_loss,0.4715,1.0147,0.04,NEUTRAL/TRENDING,1.353,0.316
TSLA,2020-11-30,2020-12-10,566.79,571.75,7,34.7,0.0087,8,trail_profit,0.4351,0.7777,0.0397,NEUTRAL/TRENDING,2.0,0.466
PFE,2020-12-03,2020-12-14,40.11,40.17,102,6.31,0.0015,7,trail_profit,0.4251,0.7253,0.0396,NEUTRAL/TRENDING,1.972,0.285
T,2020-12-09,2020-12-17,31.48,30.28,131,-157.31,-0.0381,6,trail_loss,0.2441,0.5404,0.039,NEUTRAL/TRENDING,1.545,-0.869
CSCO,2020-11-16,2020-12-18,42.56,45.43,94,269.99,0.0675,23,profit_target,0.5061,1.0197,0.0402,NEUTRAL/TRENDING,1.833,0.653
