symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
AAPL,2020-11-16,2020-11-23,120.31,114.96,66,-352.91,-0.0444,5,stop_loss,1.7096,0.3943,0.08,NEUTRAL
TSLA,2020-11-20,2020-11-30,489.37,558.98,16,1113.82,0.1423,5,stop_loss,2.1236,0.4898,0.08,NEUTRAL
SHOP,2020-11-23,2020-12-02,979.42,1039.17,8,478.03,0.061,6,stop_loss,1.9635,0.4529,0.08,NEUTRAL
TSLA,2020-11-30,2020-12-02,566.79,554.89,14,-166.54,-0.021,2,stop_loss,1.7639,0.4068,0.08,NEUTRAL
DDOG,2020-12-01,2020-12-09,95.84,96.14,84,25.15,0.0031,6,stop_loss,2.4032,0.5543,0.08,NEUTRAL
META,2020-12-02,2020-12-09,287.67,277.96,28,-271.83,-0.0337,5,stop_loss,1.7487,0.4033,0.08,NEUTRAL
AAPL,2020-12-04,2020-12-09,122.31,121.33,66,-64.66,-0.008,3,stop_loss,1.8294,0.4219,0.08,NEUTRAL
MRK,2020-12-03,2020-12-14,81.52,81.95,98,42.3,0.0053,7,stop_loss,1.9271,0.4445,0.08,NEUTRAL
AAPL,2020-12-09,2020-12-21,121.8,125.14,66,220.65,0.0274,8,stop_loss,1.7565,0.4051,0.08,NEUTRAL
CAT,2020-12-14,2020-12-21,178.22,176.92,45,-58.62,-0.0073,5,stop_loss,1.7828,0.4112,0.08,NEUTRAL
NFLX,2020-12-09,2020-12-23,494.7,514.77,16,321.09,0.0406,10,stop_loss,1.8072,0.4168,0.08,NEUTRAL
AAPL,2020-12-23,2020-12-31,131.11,133.28,61,132.54,0.0166,5,stop_loss,1.6651,0.3841,0.08,NEUTRAL
GIS,2021-01-28,2021-02-01,59.39,57.72,136,-227.79,-0.0282,2,stop_loss,2.0496,0.4727,0.08,NEUTRAL
PFE,2021-01-28,2021-02-01,35.88,35.87,226,-1.84,-0.0002,2,stop_loss,1.7503,0.4037,0.08,NEUTRAL
KHC,2021-01-28,2021-02-02,33.97,33.16,238,-193.33,-0.0239,3,stop_loss,1.7266,0.3982,0.08,NEUTRAL
SNOW,2021-02-02,2021-02-10,301.0,301.69,26,17.98,0.0023,6,stop_loss,2.4468,0.5644,0.08,NEUTRAL
CRM,2021-01-27,2021-02-16,224.85,249.55,36,889.03,0.1098,13,take_profit,1.7021,0.3926,0.08,NEUTRAL
LMT,2021-02-08,2021-02-16,338.06,334.17,24,-93.33,-0.0115,5,stop_loss,2.2477,0.5184,0.08,NEUTRAL
META,2021-02-12,2021-02-19,270.85,264.7,30,-184.37,-0.0227,4,stop_loss,1.8066,0.4167,0.08,NEUTRAL
KO,2021-01-29,2021-02-22,48.17,49.71,168,258.29,0.0319,15,stop_loss,1.7265,0.3982,0.08,NEUTRAL
AAL,2021-01-29,2021-02-23,17.18,19.89,472,1279.73,0.1578,16,stop_loss,1.7646,0.407,0.08,NEUTRAL
BA,2021-02-26,2021-03-04,212.32,221.49,38,348.33,0.0432,4,stop_loss,1.6563,0.382,0.08,NEUTRAL
SBUX,2021-03-02,2021-03-04,107.19,104.14,77,-234.76,-0.0284,2,stop_loss,1.7469,0.4029,0.08,NEUTRAL
CMCSA,2021-02-03,2021-03-10,50.48,57.13,160,1064.23,0.1318,24,take_profit,1.9626,0.4527,0.08,NEUTRAL
RTX,2021-03-05,2021-03-19,75.21,76.28,110,117.65,0.0142,10,stop_loss,1.6509,0.3808,0.08,NEUTRAL
MRK,2021-03-09,2021-03-19,74.22,76.19,112,220.85,0.0266,8,stop_loss,1.8866,0.4351,0.08,NEUTRAL
PEP,2021-03-26,2021-03-31,142.93,141.55,58,-79.91,-0.0096,3,stop_loss,1.7146,0.3955,0.08,NEUTRAL
PFE,2021-03-08,2021-04-07,34.37,35.85,242,357.19,0.0429,21,stop_loss,2.2058,0.5088,0.08,NEUTRAL
LLY,2021-03-30,2021-04-07,185.5,181.3,45,-189.22,-0.0227,5,stop_loss,1.8674,0.4307,0.08,NEUTRAL
